S001,Công ty Sách Phương Nam,Hồ Chí Minh,0981110001,phuongnam@sach.com
S002,Tập đoàn Giáo Dục,Hà Nội,0982220002,giaoduc@group.com
S003,Nhà phân phối AZ,Hồ Chí Minh,0983330003,azdistributor@mail.com
S004,Bookworm Logistics,Hà Nội,0984440004,bwlog@mail.com
S005,Công ty Cổ phần Văn hóa,Đà Nẵng,0985550005,vanhoa@co.vn
S006,Tiki Trading,Hồ Chí Minh,0986660006,tiki@trading.vn
S007,Fahasa Distribution,Hồ Chí Minh,0987770007,faha@distri.vn
S008,Hồng Hà Books,Hà Nội,0988880008,hongha@books.com
S009,Nguyệt Quế Sách,Hồ Chí Minh,0989990009,nguyetque@mail.com
S010,Chi nhánh Sách VN,Hà Nội,0980000010,cnsv@mail.com
S011,Công ty Văn Lang,Hà Nội,0981111011,vanlang@books.vn
S012,Sách Đông Dương,Hồ Chí Minh,0982222012,dongduong@supplier.com
S013,Nhà sách Minh Khai,Đà Nẵng,0983333013,minhkhai@book.vn
S014,Mega Books Supply,Hà Nội,0984444014,mega@supply.com
S015,Công ty Tri Thức,Hồ Chí Minh,0985555015,trithuc@company.vn
S016,Nhà phân phối Tân Việt,Hải Phòng,0986666016,tanviet@distri.vn
S017,Sách Quốc Tế,Hà Nội,0987777017,quocte@books.com
S018,Công ty Văn Hóa Sài Gòn,Hồ Chí Minh,0988888018,vhsg@culture.vn
S019,Book House Trading,Đà Nẵng,0989999019,bookhouse@trading.vn
S020,Nhà cung cấp Bình Minh,Hà Nội,0980000020,binhminh@supplier.com
